name,anon,label
the element Hydrogen,the element element_9413,0
the element Helium,the element element_2156,0
the element Boron,the element element_9718,0
the element Carbon,the element element_9780,0
the element Nitrogen,the element element_4759,0
the element Oxygen,the element element_7482,0
the element Fluorine,the element element_4910,0
the element Neon,the element element_8902,0
the element Silicon,the element element_4675,0
the element Phosphorus,the element element_3853,0
the element Sulfur,the element element_6683,0
the element Chlorine,the element element_8145,0
the element Argon,the element element_5503,0
the element Germanium,the element element_7072,0
the element Arsenic,the element element_4736,0
the element Selenium,the element element_7424,0
the element Bromine,the element element_6534,0
the element Krypton,the element element_4449,0
the element Antimony,the element element_5837,0
the element Tellurium,the element element_2477,0
the element Iodine,the element element_3279,0
the element Xenon,the element element_7628,0
the element Polonium,the element element_6687,0
the element Astatine,the element element_1490,0
the element Radon,the element element_8648,0
the element Ytterbium,the element element_7991,1
the element Lutetium,the element element_4477,1
the element Rhenium,the element element_9841,1
the element Titanium,the element element_3782,1
the element Tungsten,the element element_7213,1
the element Plutonium,the element element_4842,1
the element Barium,the element element_1095,1
the element Copper,the element element_4449,1
the element Francium,the element element_2786,1
the element Osmium,the element element_6056,1
the element Neptunium,the element element_6719,1
the element Tantalum,the element element_8938,1
the element Europium,the element element_3817,1
the element Fermium,the element element_9274,1
the element Gold,the element element_5781,1
the element Molybdenum,the element element_8862,1
the element Ruthenium,the element element_3549,1
the element Scandium,the element element_6523,1
the element Bismuth,the element element_1682,1
the element Mercury,the element element_3527,1
the element Praseodymium,the element element_7282,1
the element Rubidium,the element element_4431,1
the element Protactinium,the element element_5432,1
the element Strontium,the element element_6060,1
the element Yttrium,the element element_1537,1
